"","x"
"global_tree_effect",147.693117312198
"nu",127.601810489464
"p10",203.183087138385
"p11",841.191951074544
"p12",731.248366184799
"p2",321.544185888243
"p3",1095.61045459277
"p5",810.048056244658
"p6",535.559584584527
"p7",2734.81917927665
"p8",1399.09767181775
"p9",970.314090132384
"procErr",1363.23721434086
