"","x"
"global_tree_effect",414.503241075346
"p10",408.586301762922
"p11",1793.72715901106
"p12",1770.56000592987
"p2",7220.65416617067
"p3",1639.25218892579
"p5",4479.30028677717
"p6",1151.42328972148
"p7",5841.50036454289
"p8",2609.99559550425
"p9",2882.90825529106
"procErr",8146.29572634564
