"common_name","r2","rmse","mae","species"
"black cherry",0.652994846269237,3.30005293972014,1.29904336629064,"Prunus serotina"
"eastern cottonwood",0.596133621002234,13.0807572892871,5.81688650717798,"Populus deltoides"
"paper birch",0.517928598559789,1.66803710022033,0.660644297477942,"Betula papyrifera"
"ponderosa pine",0.54927106610221,4.21319144653393,1.60758041621481,"Pinus ponderosa"
"quaking aspen",0.674242812661822,1.89433673592298,0.900116813405662,"Populus tremuloides"
"red spruce",0.749381026620379,1.22959555269795,0.596214544229241,"Picea rubens"
"sugar maple",0.548264842809653,4.30798306131059,1.25631769401492,"Acer saccharum"
"yellow poplar",0.679857016786343,5.44265146844948,2.4906838839428,"Liriodendron tulipifera"
