"species","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","procErr","nu"
"Prunus serotina",84,117,1057,2504,843,7186,3668,1478,357,4592,3414,2834,913
"Populus deltoides",208,177,1187,4156,1493,6034,3031,2307,742,5202,4348,6199,97
"Betula papyrifera",84,81,955,3186,1641,7695,6793,2173,574,2681,2742,3112,608
"Pinus ponderosa",141,244,1021,827,603,3090,1318,974,219,1004,838,978,98
"Populus tremuloides",153,128,1082,3350,1229,8053,3478,2206,697,3059,3091,1926,600
"Picea rubens",116,103,631,656,493,830,6713,275,289,1465,1055,2998,304
"Acer saccharum",95,67,413,4193,1152,6381,3577,1606,515,4582,4008,3315,1673
"Liriodendron tulipifera",76,95,820,2925,652,3963,1720,2031,275,3031,3177,3606,1727
