"","x"
"global_tree_effect",207.677814910872
"nu",97.1361474256576
"p10",741.542024371041
"p11",5201.58993372911
"p12",4347.61204650766
"p2",177.163106956265
"p3",1187.04154361491
"p5",4156.12058567725
"p6",1492.87309253477
"p7",6033.50623249141
"p8",3030.60999137063
"p9",2307.36196265045
"procErr",6198.80128941186
