"","x"
"global_tree_effect",123.0607057804
"nu",117.294707605171
"p10",185.653166456056
"p11",761.754492416103
"p12",732.271541899807
"p2",292.144181226789
"p3",1117.29206943257
"p5",753.25379499851
"p6",541.727194035855
"p7",2229.04910099704
"p8",1120.51229708415
"p9",897.671166079172
"procErr",1550.25054922466
