"species","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11"
"Acer saccharum",0.07,-0.0086,0.038,0.00034,0.00052,-0.00078,-0.00028,-0.00098,0.00069,0.00072,0.00015
"Betula papyrifera",0.077,-0.012,0.031,-0.00039,0.0011,0.00052,0.00011,-0.00057,9.2e-05,0.00044,-8.1e-05
"Liriodendron tulipifera",0.14,-0.018,0.076,0.002,0.0017,-0.0039,0.00026,0.0023,0.00064,-3e-04,0.00018
"Picea rubens",0.092,-0.015,0.053,0.0024,0.00044,0.0019,0.0014,-0.0029,0.0014,0.0018,0.00041
"Pinus ponderosa",0.066,-0.0076,0.015,-0.0016,-0.0047,-0.0052,0.00031,-0.001,-0.0039,-0.00034,0.00025
"Populus deltoides",0.19,-0.024,0.1,0.0033,0.0019,-0.013,-0.0038,0.0063,0.00056,-0.00058,-0.00034
"Populus tremuloides",0.11,-0.017,0.057,-0.00071,0.0014,-0.00076,0.00011,0.0015,0.00093,0.00024,-3.7e-05
"Prunus serotina",0.097,-0.014,0.055,0.00092,0.00082,-0.0011,-0.0023,0.00074,9e-04,0.00022,0.00024
