"","x"
"global_tree_effect",42.0470248719435
"nu",1899.52857583759
"p10",148.992386364094
"p11",48.8869224489797
"p12",366.533343569891
"p2",150.830776840541
"p3",669.226951618718
"p5",44.5613262234827
"p6",526.221833366036
"p7",136.723223562771
"p8",441.408993516448
"p9",39.9077498279069
"procErr",3576.89420652983
