"","x"
"global_tree_effect",57.0170922240652
"nu",405.130597029491
"p10",108.371649161336
"p11",582.064614508816
"p12",385.636688611545
"p2",104.893691748296
"p3",627.130529726863
"p5",433.861246457291
"p6",274.399214130243
"p7",1507.33538541435
"p8",829.075488253542
"p9",589.154972692384
"procErr",324.451394878244
