"","x"
"global_tree_effect",161.730702479674
"p10",362.953724515557
"p11",1679.97951908504
"p12",1632.42093825913
"p2",218.781931566421
"p3",3025.16300974351
"p5",2074.10255276779
"p6",1993.04319198789
"p7",7816.38349435705
"p8",8809.43611377065
"p9",3178.99435882218
"procErr",6965.71749676028
