"level1_ecoregion","plot_ID","Dep_Shistoric","Dep_Sdiff","Dep_Nhistoric","Dep_Ndiff","ecoregion_ortho","Dep_Nhistoric_ortho","Dep_Ndiff_ortho","c"
"TEMPERATE SIERRAS",2230204010690,2.34568212317668,-0.634818977358499,3.16787347755192,0.946091795357169,"TEMPERATE SIERRAS & SOUTHERN SEMIARID HIGHLANDS",-0.843257071975611,1.65996349911713,-0.871100889027377
"TEMPERATE SIERRAS",2230263010690,2.26049624774944,-0.610087622113081,3.05347351864904,0.943991083714596,"TEMPERATE SIERRAS & SOUTHERN SEMIARID HIGHLANDS",-0.796985279007205,1.65170765062954,-0.871100889027377
"TEMPERATE SIERRAS",2230882010690,2.64823793192903,-0.625411975565393,3.99975210069613,1.60934322348569,"TEMPERATE SIERRAS & SOUTHERN SEMIARID HIGHLANDS",-0.147082692369831,2.19715527674123,-0.871100889027377
"TEMPERATE SIERRAS",2231091010690,2.46730759545602,-0.779791090365114,4.13133434657892,0.373726607875631,"TEMPERATE SIERRAS & SOUTHERN SEMIARID HIGHLANDS",-0.679922901683741,1.33469355141255,-0.871100889027377
"TEMPERATE SIERRAS",2231153010690,2.92421393317999,-0.620965137452724,4.91860294964333,1.90798939835667,"TEMPERATE SIERRAS & SOUTHERN SEMIARID HIGHLANDS",0.2415373841926,2.26581480902719,-0.871100889027377
"TEMPERATE SIERRAS",2222940010690,2.96507171936434,-0.629707064489342,6.78499231850199,0.367431331623006,"TEMPERATE SIERRAS & SOUTHERN SEMIARID HIGHLANDS",-0.31028317312457,0.0428396857739834,-0.871100889027377
"TEMPERATE SIERRAS",2222999010690,2.9247677280338,-0.548864555033799,4.84595850169365,2.07363991512453,"TEMPERATE SIERRAS & SOUTHERN SEMIARID HIGHLANDS",0.175706928551024,2.18147940934826,-0.871100889027377
"TEMPERATE SIERRAS",2223466010690,2.64853805418014,-0.439965547305143,6.28171879595797,0.843081111167034,"TEMPERATE SIERRAS & SOUTHERN SEMIARID HIGHLANDS",0.113490059503591,0.269962650689358,-0.871100889027377
"TEMPERATE SIERRAS",2223506010690,3.22829400814393,-1.22699045459848,5.68130294827911,0.311200401993617,"TEMPERATE SIERRAS & SOUTHERN SEMIARID HIGHLANDS",-0.109471993711904,2.30054481747866,-0.871100889027377
"TEMPERATE SIERRAS",2223624010690,2.96840484046205,-0.896991377734778,4.60189274635151,1.15332993192122,"TEMPERATE SIERRAS & SOUTHERN SEMIARID HIGHLANDS",-0.234287179221836,2.35861111019325,-0.871100889027377
"TEMPERATE SIERRAS",2223903010690,1.53390549077591,-0.305102267957734,3.25088526429661,1.09449271733975,"TEMPERATE SIERRAS & SOUTHERN SEMIARID HIGHLANDS",0.439164587151967,1.40379728471068,-0.871100889027377
"TEMPERATE SIERRAS",2223994010690,3.40399033903001,-0.431579660211832,6.22919555083241,2.37435971653123,"TEMPERATE SIERRAS & SOUTHERN SEMIARID HIGHLANDS",0.0861631835354976,1.49945891647145,-0.871100889027377
"TEMPERATE SIERRAS",2224275010690,1.56360025528484,0.157131512442431,3.21495682484184,2.27088431933998,"TEMPERATE SIERRAS & SOUTHERN SEMIARID HIGHLANDS",0.42919210154934,0.995142046469069,-0.871100889027377
"TEMPERATE SIERRAS",2224390010690,3.30183369294577,-0.21864630794577,5.53769707396731,2.74107298285087,"TEMPERATE SIERRAS & SOUTHERN SEMIARID HIGHLANDS",-0.374212685822956,1.20249825849632,-0.871100889027377
"TEMPERATE SIERRAS",2224434010690,1.78723150858884,-0.0616147501342859,3.33629265861265,2.01600055111462,"TEMPERATE SIERRAS & SOUTHERN SEMIARID HIGHLANDS",0.302056191144478,1.32879606613636,-0.871100889027377
"TEMPERATE SIERRAS",2224591010690,2.90646733771416,-0.362887550714155,6.60391060419174,0.791917076808263,"TEMPERATE SIERRAS & SOUTHERN SEMIARID HIGHLANDS",-0.570831146433544,-0.465126475044306,-0.871100889027377
"TEMPERATE SIERRAS",2224597010690,1.47442824331275,-0.122702253221836,2.62451932453264,1.02141876837645,"TEMPERATE SIERRAS & SOUTHERN SEMIARID HIGHLANDS",-0.535461145886556,0.559004246931825,-0.871100889027377
"TEMPERATE SIERRAS",2224621010690,3.35639719402698,-0.870444426572431,5.3270431194689,1.54452388071292,"TEMPERATE SIERRAS & SOUTHERN SEMIARID HIGHLANDS",-0.224607036319836,2.32349623702176,-0.871100889027377
"TEMPERATE SIERRAS",2224713010690,3.02007322927447,-0.64289138500174,5.03068674749782,1.78096773350218,"TEMPERATE SIERRAS & SOUTHERN SEMIARID HIGHLANDS",-0.00288659713461072,2.06304121911013,-0.871100889027377
"TEMPERATE SIERRAS",2225628010690,1.6625478364034,-0.306193816585219,3.76385383341071,0.194470696498382,"TEMPERATE SIERRAS & SOUTHERN SEMIARID HIGHLANDS",-0.604053071601501,-0.0419792612035284,-0.871100889027377
"TEMPERATE SIERRAS",2225754010690,2.3233685816755,-0.77694504903914,7.14107162696537,-0.834489913147186,"TEMPERATE SIERRAS & SOUTHERN SEMIARID HIGHLANDS",0.496595183677779,-0.235016349417125,-0.871100889027377
"TEMPERATE SIERRAS",2225812010690,2.22318155763666,-0.482889051818483,7.83750532575079,-0.44320316338715,"TEMPERATE SIERRAS & SOUTHERN SEMIARID HIGHLANDS",0.898315728617684,-0.860808062774834,-0.871100889027377
"TEMPERATE SIERRAS",2225991010690,3.12422685184851,-0.793362021393962,8.61832608275188,-0.473884716751881,"TEMPERATE SIERRAS & SOUTHERN SEMIARID HIGHLANDS",0.15510189857454,-0.631500845799432,-0.871100889027377
